# PARTICIPANT INFO
id,age,gender,handedness,startTime,endTime,finalCoins_exp1
999,19,male,right,8521,198515.00000000003,16

# EXPERIMENT 1 TRIALS
trial_index,stimulus,imagePath,start_time,choice,rt,outcome,coins_before,coins_after
1,zaff1,./stimuli/exp1/hh4.png,15868,approach,1226,1,4,5
2,nonzaff4,./stimuli/exp1/ss4.png,19040,avoid,1295,0,5,5
3,zaff2,./stimuli/exp1/sh4.png,21943,approach,1299,1,5,6
4,zaff3,./stimuli/exp1/hs1.png,24747,approach,1986,1,6,7
5,nonzaff4,./stimuli/exp1/ss2.png,28184,avoid,3036.0000000000036,0,7,7
6,zaff1,./stimuli/exp1/hh2.png,32878,approach,2436,1,7,8
7,zaff3,./stimuli/exp1/hs3.png,36778,approach,6184,1,8,9
8,zaff2,./stimuli/exp1/sh3.png,44268,approach,1794,1,9,10
9,zaff2,./stimuli/exp1/sh1.png,47666.00000000001,approach,1595.9999999999927,1,10,11
10,zaff3,./stimuli/exp1/hs2.png,50354,approach,1714,1,11,12
11,nonzaff4,./stimuli/exp1/ss1.png,53429,avoid,2438.0000000000073,0,12,12
12,zaff1,./stimuli/exp1/hh1.png,57280,approach,1271,1,12,13
13,zaff3,./stimuli/exp1/hs4.png,59895,approach,5121.999999999993,1,13,14
14,zaff2,./stimuli/exp1/sh2.png,66320.00000000001,approach,3730.9999999999854,1,14,15
15,zaff1,./stimuli/exp1/hh3.png,71496,approach,1163,1,15,16
16,nonzaff4,./stimuli/exp1/ss3.png,73714,avoid,3578,0,16,16

# EXPERIMENT 2 RANKING
rank,itemId,text
1,item-3,在目标正体验一种强烈情绪（如热恋）时，瞬间将其完全清除，使其内心归于绝对的平静。
2,item-5,在一个完全中性、无任何刺激的情境下，让目标体验到一种强烈的、无缘由的复杂情绪（如乡愁）。
3,item-6,让目标针对同一件事，在同一瞬间体验到两种同样强烈或都较弱的同效价维度情绪（例如，对毕业既感到悲伤又感到愤怒）
4,item-2,在一个强烈的情境下，将个体应有的情绪转为相近而不同的其他情绪，例如由惊恐转为厌恶
5,item-7,在1小时内定格对象的情绪，无论之后情境怎么变，对象的情绪都不会变
6,item-9,强行将目标一种正在体验的情绪转入潜意识，使其意识层面感觉不到，但情绪本身仍对行为产生潜在影响。
7,item-10,让目标的情绪产生的时间间断性延后，比如原本考试满分立刻感到狂喜，现在得知此消息后十分钟后才狂喜（情境完全一致）
8,item-1,让目标情绪产生的速度变慢，比如原本考试满分立刻感到狂喜，现在得知此消息后在十分钟内慢慢由微弱的开心到大笑再到狂喜（情境完全一样）
9,item-4,将目标已有的某种情绪，在性质不变的情况下，等比例增强其强度（例如，将微小的烦躁增强为愤怒）。
10,item-8,在目标现有情绪的基调上，增添一抹细微的“色彩”（例如，在“开心”的情绪上，增添一丝“得意”的感觉）。

# EVENT LOG
event,timestamp,page,details
Decision Made,70051,page-exp1-formal,"{""trial_index"":14,""stimulus"":""zaff2"",""imagePath"":""./stimuli/exp1/sh2.png"",""start_time"":66320.00000000001,""choice"":""approach"",""rt"":3730.9999999999854,""outcome"":1,""coins_before"":14,""coins_after"":15}"
Stimulus Presented,71496,page-exp1-formal,"{""trial"":15,""stimulus"":""zaff1"",""image"":""./stimuli/exp1/hh3.png""}"
Decision Made,72659,page-exp1-formal,"{""trial_index"":15,""stimulus"":""zaff1"",""imagePath"":""./stimuli/exp1/hh3.png"",""start_time"":71496,""choice"":""approach"",""rt"":1163,""outcome"":1,""coins_before"":15,""coins_after"":16}"
Stimulus Presented,73714,page-exp1-formal,"{""trial"":16,""stimulus"":""nonzaff4"",""image"":""./stimuli/exp1/ss3.png""}"
Decision Made,77292,page-exp1-formal,"{""trial_index"":16,""stimulus"":""nonzaff4"",""imagePath"":""./stimuli/exp1/ss3.png"",""start_time"":73714,""choice"":""avoid"",""rt"":3578,""outcome"":0,""coins_before"":16,""coins_after"":16}"
Experiment 1 Ended,79015,page-exp1-formal,{}
Page shown,79016,page-exp1-break,"{""pageId"":""page-exp1-break""}"
Page shown,134490,page-exp2-instructions,"{""pageId"":""page-exp2-instructions""}"
Page shown,135235,page-exp2-check,"{""pageId"":""page-exp2-check""}"
Exp2 Comprehension Check Passed,138742,page-exp2-check,{}
Page shown,138742,page-exp2-formal,"{""pageId"":""page-exp2-formal""}"
Exp2 Drag Start,141298,page-exp2-formal,"{""itemId"":""item-10""}"
Exp2 Drag End,142646.00000000003,page-exp2-formal,"{""itemId"":""item-10""}"
Exp2 Drag Start,143974,page-exp2-formal,"{""itemId"":""item-8""}"
Exp2 Drag End,144681,page-exp2-formal,"{""itemId"":""item-8""}"
Exp2 Drag Start,148538,page-exp2-formal,"{""itemId"":""item-3""}"
Exp2 Drag End,149356,page-exp2-formal,"{""itemId"":""item-3""}"
Exp2 Drag Start,154991,page-exp2-formal,"{""itemId"":""item-5""}"
Exp2 Drag End,155990,page-exp2-formal,"{""itemId"":""item-5""}"
Exp2 Drag Start,184852,page-exp2-formal,"{""itemId"":""item-6""}"
Exp2 Drag End,185564,page-exp2-formal,"{""itemId"":""item-6""}"
Exp2 Drag Start,186571,page-exp2-formal,"{""itemId"":""item-1""}"
Exp2 Drag End,187483,page-exp2-formal,"{""itemId"":""item-1""}"
Exp2 Drag Start,189608,page-exp2-formal,"{""itemId"":""item-2""}"
Exp2 Drag End,190678,page-exp2-formal,"{""itemId"":""item-2""}"
Exp2 Drag Start,191844,page-exp2-formal,"{""itemId"":""item-4""}"
Exp2 Drag End,193415,page-exp2-formal,"{""itemId"":""item-4""}"
Exp2 Drag Start,194542,page-exp2-formal,"{""itemId"":""item-7""}"
Exp2 Drag End,195688.00000000003,page-exp2-formal,"{""itemId"":""item-7""}"
Exp2 Drag Start,196303,page-exp2-formal,"{""itemId"":""item-9""}"
Exp2 Drag End,197180,page-exp2-formal,"{""itemId"":""item-9""}"
Exp2 Ranking Confirmed,198514,page-exp2-formal,"{""ranking"":[{""rank"":1,""itemId"":""item-3"",""text"":""在目标正体验一种强烈情绪（如热恋）时，瞬间将其完全清除，使其内心归于绝对的平静。""},{""rank"":2,""itemId"":""item-5"",""text"":""在一个完全中性、无任何刺激的情境下，让目标体验到一种强烈的、无缘由的复杂情绪（如乡愁）。""},{""rank"":3,""itemId"":""item-6"",""text"":""让目标针对同一件事，在同一瞬间体验到两种同样强烈或都较弱的同效价维度情绪（例如，对毕业既感到悲伤又感到愤怒）""},{""rank"":4,""itemId"":""item-2"",""text"":""在一个强烈的情境下，将个体应有的情绪转为相近而不同的其他情绪，例如由惊恐转为厌恶""},{""rank"":5,""itemId"":""item-7"",""text"":""在1小时内定格对象的情绪，无论之后情境怎么变，对象的情绪都不会变""},{""rank"":6,""itemId"":""item-9"",""text"":""强行将目标一种正在体验的情绪转入潜意识，使其意识层面感觉不到，但情绪本身仍对行为产生潜在影响。""},{""rank"":7,""itemId"":""item-10"",""text"":""让目标的情绪产生的时间间断性延后，比如原本考试满分立刻感到狂喜，现在得知此消息后十分钟后才狂喜（情境完全一致）""},{""rank"":8,""itemId"":""item-1"",""text"":""让目标情绪产生的速度变慢，比如原本考试满分立刻感到狂喜，现在得知此消息后在十分钟内慢慢由微弱的开心到大笑再到狂喜（情境完全一样）""},{""rank"":9,""itemId"":""item-4"",""text"":""将目标已有的某种情绪，在性质不变的情况下，等比例增强其强度（例如，将微小的烦躁增强为愤怒）。""},{""rank"":10,""itemId"":""item-8"",""text"":""在目标现有情绪的基调上，增添一抹细微的“色彩”（例如，在“开心”的情绪上，增添一丝“得意”的感觉）。""}]}"
Experiment End,198515.00000000003,page-exp2-formal,{}
Page shown,198515.00000000003,page-end,"{""pageId"":""page-end""}"

# MOUSE TRAJECTORY
x,y,timestamp
0,0,8531
0,0,8542
0,0,8552
0,0,8563
0,0,8574
0,0,8585
0,0,8596
0,0,8606
0,0,8617
0,0,8628
745,605,8639
745,605,8650
745,605,8660
745,605,8672
745,605,8683
745,605,8694
745,605,8704
745,605,8715
745,605,8726
745,605,8737
745,605,8747
745,605,8758
745,605,8769
745,605,8779
745,605,8790.000000000002
745,605,8801
745,605,8812
745,605,8823
745,605,8834
745,605,8845
745,605,8856
745,605,8867
745,605,8877
745,605,8888
745,605,8899
745,605,8910
745,605,8921
745,605,8932
745,605,8943
745,605,8953
745,605,8964
745,605,8975
745,605,8985
745,605,8997
745,605,9007
745,605,9018
745,605,9029
745,605,9040.000000000002
745,605,9051
745,605,9062
745,605,9073
745,605,9084
745,605,9094
745,605,9105
745,605,9116
745,605,9127
745,605,9138
745,605,9149
745,605,9160
745,605,9171
745,605,9182
745,605,9193
745,605,9204
745,605,9215
745,605,9226
745,605,9237
745,605,9248
745,605,9259
745,605,9269
745,605,9279
743,605,9290.000000000002
741,605,9300
741,605,9311
736,603,9322.000000000002
719,597,9332
719,597,9343
707,592,9354.000000000002
694,586,9364
694,586,9375
686,583,9385
686,583,9396
678,579,9406
673,577,9417
673,577,9427
670,576,9438
668,575,9448
668,575,9458
667,575,9469
667,575,9479.000000000002
666,575,9490
666,575,9500
666,575,9511.000000000002
666,575,9521
666,574,9531
666,574,9542
666,574,9552
666,574,9563
666,574,9574
666,574,9585
666,574,9595
666,574,9606
666,574,9617
666,574,9627
666,574,9638
666,574,9648
666,574,9659
666,574,9670
666,574,9681.000000000002
666,574,9692
666,574,9703
666,574,9714
666,574,9725
666,574,9736
666,574,9747
666,574,9768
666,574,9778
666,574,9790.000000000002
666,574,9800
666,574,9811
666,574,9821
666,574,9831
666,574,9842
666,574,9853
666,574,9863
666,574,9874
666,574,9884
666,574,9894
666,574,9905
666,574,9915.000000000002
666,574,9926
666,574,9937
666,574,9947.000000000002
666,574,9957
666,574,9968
666,574,9979.000000000002
667,574,9989
670,575,9999
670,575,10011.000000000002
678,579,10021
688,584,10031
688,584,10042
698,590,10052
698,590,10063
716,601,10074
727,608,10085
727,608,10096
732,610,10106
743,618,10117
743,618,10127
752,623,10138
758,628,10148
758,628,10159
761,630,10169
761,630,10180
764,632,10191
766,634,10202
766,634,10213.000000000002
768,635,10224
769,635,10234
769,635,10245.000000000002
769,635,10256
769,635,10267
769,635,10277.000000000002
769,635,10288
769,635,10298
769,635,10309.000000000002
769,635,10320
769,635,10330
769,635,10341.000000000002
769,635,10352
769,635,10364
769,635,10374
769,635,10385
769,635,10396
769,635,10406
769,635,10417
769,635,10428
769,635,10440
769,635,10451
769,635,10462
769,635,10472
769,635,10483
769,635,10494
769,635,10505
769,635,10515
769,635,10526
769,635,10537
769,635,10547
769,635,10558
769,635,10569
769,635,10579
769,635,10590
769,635,10601
769,635,10612
769,635,10623.000000000002
766,635,10633
766,635,10644
763,632,10655
749,622,10665.000000000002
749,622,10676
725,595,10686
725,595,10697.000000000002
712,579,10708
698,563,10718
698,563,10729.000000000002
686,550,10740
676,540,10750
676,540,10760
666,530,10771
658,520,10781
658,520,10792
652,514,10803
644,504,10813
644,504,10824
639,499,10835
635,493,10845
635,493,10856
628,487,10867
624,484,10877
624,484,10888
620,480,10898
620,480,10909
617,476,10920
615,472,10931.000000000002
615,472,10942
615,468,10952
615,466,10962
615,466,10973
616,466,10983
618,466,10993
618,466,11004
624,470,11015
624,470,11026
635,475,11037
647,482,11047
647,482,11058
660,489,11069
673,496,11079
673,496,11090
684,503,11101
695,510,11111
695,510,11122
701,514,11133
701,514,11143
707,519,11154
715,527,11164
715,527,11174
718,531,11185
721,535,11195
721,535,11206
723,537,11217
723,537,11227
724,539,11238
725,542,11248.000000000002
726,544,11258
726,544,11269
727,546,11280
727,546,11290.000000000002
727,546,11301
727,546,11311
727,546,11322.000000000002
727,546,11333
727,546,11344
727,546,11355
727,546,11366
727,546,11376
727,546,11387
727,546,11398
727,546,11408
727,546,11419
727,546,11430
727,546,11451
727,546,11461
727,546,11472
727,546,11483
727,546,11494
727,546,11505
727,546,11516
727,546,11527.000000000002
727,546,11538
727,546,11549
727,546,11559.000000000002
727,546,11569
727,546,11580
727,546,11591.000000000002
727,546,11602
727,546,11613
727,546,11624
727,546,11635
727,546,11646
727,546,11657
727,546,11668.000000000002
727,546,11679
727,546,11689
727,546,11699
726,546,11710
723,546,11721
719,545,11731
706,541,11742
706,541,11753
684,532,11764.000000000002
663,522,11774
663,522,11785
639,509,11796
611,492,11806.000000000002
611,492,11817
584,471,11827
584,471,11837
557,448,11848
531,423,11858
531,423,11869
516,407,11880
505,395,11890
505,395,11901
497,385,11912
491,378,11922
491,378,11932
488,374,11943
488,374,11953
485,370,11964
482,364,11974
482,364,11985
481,359,11996
479,354,12006
479,354,12016
477,349,12027.000000000002
477,349,12038
475,339,12048
474,331,12058
474,331,12069
472,323,12080
471,316,12090
471,316,12101
470,309,12112
468,303,12122
468,303,12132
466,298,12143
466,298,12153
465,295,12164
462,289,12174
462,289,12185
461,285,12196
459,280,12206
459,280,12217
457,275,12227
457,275,12238
454,268,12249
452,265,12260
452,265,12271
451,262,12281
450,261,12292
450,261,12302
449,260,12313
449,260,12323
449,260,12334
449,259,12345
449,258,12355
449,258,12366
449,258,12377
449,258,12388
450,257,12398
450,257,12408
450,257,12419
450,257,12429
450,257,12439
450,257,12450.000000000002
450,257,12460
450,257,12471
450,257,12481
450,258,12492
450,258,12502
450,258,12513
450,258,12524
450,258,12535
450,258,12546
450,258,12557
450,258,12568
450,258,12579
450,258,12590
450,258,12601
450,258,12612
450,258,12623.000000000002
450,258,12634
450,258,12645
450,258,12656
450,258,12666
450,258,12677
450,258,12687
450,258,12698
450,258,12708
450,258,12719
450,258,12730
450,258,12741
450,258,12752
450,258,12763
450,258,12774
450,258,12785
450,258,12796.000000000002
450,258,12807
450,258,12818
450,258,12829
450,258,12840
450,258,12851
450,258,12862
450,259,12873.000000000002
450,263,12883
451,267,12893
451,267,12904
456,287,12915.000000000002
462,311,12925
462,311,12936
468,338,12946
471,357,12957
471,357,12968
475,378,12978
475,378,12988
478,395,12998.000000000002
481,408,13008
481,408,13019
483,419,13029
484,426,13039
484,426,13051
485,430,13061
485,430,13071
485,433,13082
485,435,13093
485,435,13104.000000000002
485,437,13115
485,438,13125
485,438,13135
485,438,13146
485,439,13156
485,439,13166
485,439,13177
485,439,13187
485,439,13198
484,440,13208
484,440,13219
484,440,13229.000000000002
483,440,13240
483,440,13250
482,440,13260
482,440,13272
481,440,13283
480,440,13293.000000000002
480,440,13304
480,439,13315
479,439,13325.000000000002
479,439,13335
477,438,13346
476,437,13357.000000000002
476,437,13368
475,436,13379
474,435,13389.000000000002
474,435,13399
472,432,13410
472,432,13421.000000000002
472,429,13431.000000000002
471,426,13442
471,426,13452
471,423,13463.000000000002
471,420,13473
471,420,13484
471,417,13494
471,417,13505
471,416,13516
471,415,13527.000000000002
471,415,13537
471,415,13548
471,415,13558
471,415,13569
470,415,13580
470,416,13590
470,416,13601
470,417,13612
469,418,13622
469,418,13633
469,420,13644
469,420,13655.000000000002
468,422,13666
468,424,13676
468,424,13687.000000000002
467,425,13698
466,427,13708
466,427,13719
465,429,13730
463,430,13740
463,430,13751
462,431,13762
462,431,13772
461,432,13783
459,433,13793.000000000002
459,433,13805
457,433,13815
456,433,13825.000000000002
456,433,13835
456,433,13846
455,433,13857.000000000002
455,433,13867
454,433,13878
454,433,13888
454,433,13899
454,433,13910
454,433,13921.000000000002
454,433,13931.000000000002
454,433,13942
454,433,13952
454,433,13963.000000000002
454,433,13974
454,433,13985
454,433,13996
454,433,14007
454,433,14018
454,433,14029
454,433,14040.000000000002
454,433,14051
454,433,14062.000000000002
454,433,14072.000000000002
454,433,14083
454,433,14094
454,433,14104.000000000002
454,433,14115
454,433,14126
454,433,14136.000000000002
454,433,14146
454,433,14158
454,433,14169
454,433,14180
454,433,14191
454,433,14202
454,433,14213.000000000002
454,433,14224
454,433,14234
454,433,14245.000000000002
454,433,14255
454,433,14266
454,433,14277.000000000002
454,433,14288
454,433,14299
454,438,14309.000000000002
454,438,14320
454,441,14330
456,450,14341.000000000002
456,450,14352
458,463,14363
462,484,14373.000000000002
462,484,14384
466,509,14394
466,509,14405.000000000002
469,526,14416
472,539,14427
472,539,14438
474,547,14449
476,554,14459
476,554,14471
479,560,14481
480,563,14492
480,563,14502
481,565,14513
481,566,14523
481,566,14534
482,566,14545
482,566,14555
482,566,14566
482,566,14577
482,566,14587
482,566,14598
482,566,14608
482,566,14619
482,565,14629
482,563,14639.000000000002
482,563,14650
482,562,14660
482,562,14672
482,562,14683
481,561,14693
481,561,14704
479,560,14715
478,559,14725
478,559,14736
477,558,14746
475,557,14756
475,557,14768
474,557,14778
474,557,14788
472,556,14799
471,554,14810
471,554,14821
471,553,14831
470,552,14842
470,552,14852
470,552,14862
470,552,14873.000000000002
470,552,14884
470,552,14894
470,552,14905.000000000002
470,552,14916
470,552,14927
470,552,14938
470,552,14949
470,552,14960
470,552,14971
470,552,14981
470,552,14992
470,552,15003
470,552,15015
470,552,15025
470,552,15036
470,552,15047
470,552,15058
470,552,15069
470,552,15079
470,552,15090
470,552,15101
470,552,15112
470,552,15122
470,552,15133
470,552,15144
470,552,15154
470,552,15165.000000000002
470,552,15176
470,552,15187.000000000002
470,552,15198
472,552,15208
475,552,15219.000000000002
479,553,15230
487,555,15241
506,562,15251
506,562,15263
533,571,15273
564,582,15283
564,582,15294
602,594,15305
640,606,15315
640,606,15326
679,617,15337
717,626,15347
717,626,15358
756,633,15369
756,633,15380
780,638,15391
790,641,15402.000000000002
790,641,15412
798,644,15423
800,645,15434.000000000002
802,647,15444
802,647,15455
803,649,15465
803,649,15475
804,651,15485.000000000002
804,652,15496
804,652,15506
804,652,15517
804,653,15527.000000000002
804,653,15538
803,653,15549
803,653,15559.000000000002
802,653,15570
801,653,15581
801,653,15592
797,653,15602
792,652,15613
792,652,15623.000000000002
786,650,15634
781,648,15644
781,648,15655.000000000002
774,645,15665.000000000002
774,645,15676
769,643,15687.000000000002
768,643,15698
767,642,15708
767,642,15719.000000000002
767,642,15730
767,642,15740
767,642,15750
767,642,15760
767,642,15772
767,642,15783
767,642,15793.000000000002
767,642,15804
767,642,15815
767,642,15825.000000000002
767,642,15835
767,642,15846
767,642,15865
767,642,15885
767,642,15929
767,642,15940
767,642,15951
767,642,15962
767,642,15972
767,642,15983
767,642,15994
767,642,16004.999999999998
767,642,16016.000000000002
767,642,16027.000000000002
767,642,16038
767,642,16049
767,642,16059.999999999998
767,642,16071.000000000002
767,642,16082
767,642,16093
767,642,16104
767,642,16115.000000000002
767,642,16125
767,642,16135.000000000002
767,642,16147.000000000002
767,642,16158.000000000002
767,642,16169
767,642,16180
767,642,16190.999999999998
767,642,16202.000000000002
767,642,16212
767,642,16222.999999999998
767,642,16234.000000000002
767,642,16245.000000000002
767,642,16256
767,642,16267
767,642,16277.999999999998
767,642,16289.000000000002
767,642,16300
767,642,16309.999999999998
767,642,16322
767,642,16332
767,642,16343
767,642,16354
767,642,16365.000000000002
763,642,16376.000000000002
759,642,16386
754,642,16397.000000000004
745,642,16410
745,642,16421
734,642,16431
720,645,16442
720,645,16452
690,652,16463
660,657,16474
660,657,16485
629,664,16496
597,670,16506
597,670,16517
562,677,16527
562,677,16538
514,688,16549
492,694,16560
492,694,16571
468,701,16581
450,706,16592
450,706,16602
436,709,16613
426,711,16623
